created_at,entry_id,temperature,humidity,moisture,field4
2020-09-11 00:25:37 WIB,3963,26.3,93.4,137,1874.26
2020-09-11 00:25:53 WIB,3964,26.3,93.4,133,1874.68
2020-09-11 00:26:09 WIB,3965,26.3,93.3,130,1875.11
2020-09-11 00:26:26 WIB,3966,26.3,93.3,136,1872.79
2020-09-11 00:26:42 WIB,3967,26.3,93.3,110,1869.26
2020-09-11 00:26:58 WIB,3968,26.2,93.8,133,1869.53
2020-09-11 00:27:14 WIB,3969, NAN, NAN,136,1867.84
2020-09-11 00:27:31 WIB,3970,26.3,93.4,128,1868.37
2020-09-11 00:27:48 WIB,3971,26.3,93.9,124,1867.68
2020-09-11 00:28:04 WIB,3972,26.3,93.4,115,1866.32
2020-09-11 00:28:20 WIB,3973,26.2,93.4,131,1870.63
2020-09-11 00:28:36 WIB,3974,26.3,93.4,151,1870.58
2020-09-11 00:28:53 WIB,3975,26.2,93.4,118,1867.37
2020-09-11 00:29:09 WIB,3976,26.2,93.4,143,1867.05
2020-09-11 00:29:25 WIB,3977,26.2,93.4,150,1868.32
2020-09-11 00:29:42 WIB,3978,26.2,93.4,141,1870.47
2020-09-11 00:29:58 WIB,3979,26.2,93.4,138,1873.53
2020-09-11 00:30:14 WIB,3980,26.2,93.4,125,1874.37
2020-09-11 00:30:30 WIB,3981,26.2,93.4,123,1876
2020-09-11 00:30:47 WIB,3982,26.2,93.4,128,1874.84
2020-09-11 00:31:04 WIB,3983,26.2,93.4,130,1878
2020-09-11 00:31:20 WIB,3984,26.2,93.3,132,1880.16
2020-09-11 00:31:36 WIB,3985,26.2,93.4,115,1878.26
2020-09-11 00:31:52 WIB,3986,26.2,93.4,142,1878.47
2020-09-11 00:32:09 WIB,3987,26.2,93.4,131,1878.79
2020-09-11 00:32:24 WIB,3988,26.2,93.4,128,1876.95
2020-09-11 00:32:41 WIB,3989,26.2,93.9,133,1873
2020-09-11 00:32:57 WIB,3990,26.2,93.4,142,1870.37
2020-09-11 00:33:13 WIB,3991,26.2,93.4,137,1869.53
2020-09-11 00:33:29 WIB,3992,26.2,93.4,135,1867.16
2020-09-11 00:33:45 WIB,3993,26.2,93.4,133,1870.42
2020-09-11 00:34:02 WIB,3994,26.2,93.4,140,1871.47
2020-09-11 00:34:18 WIB,3995,26.2,93.4,120,1874.47
2020-09-11 00:34:34 WIB,3996,26.2,93.4,134,1874.63
2020-09-11 00:34:51 WIB,3997,26.2,93.4,145,1873.74
2020-09-11 00:35:07 WIB,3998,26.2,93.4,141,1873.16
2020-09-11 00:35:23 WIB,3999,26.2,93.4,117,1870.68
2020-09-11 00:35:39 WIB,4000,26.2,93.4,127,1866.32
2020-09-11 00:35:56 WIB,4001,26.2,93.4,118,1862.21
2020-09-11 00:36:12 WIB,4002,26.2,93.4,141,1860.58
2020-09-11 00:36:28 WIB,4003,26.2,93.4,120,1862.63
2020-09-11 00:36:45 WIB,4004,26.2,93.4,138,1862.53
2020-09-11 00:37:00 WIB,4005,26.2,93.4,152,1864.05
2020-09-11 00:37:17 WIB,4006,26.2,93.4,124,1865.84
2020-09-11 00:37:32 WIB,4007,26.2,93.4,122,1865.84
2020-09-11 00:37:48 WIB,4008,26.2,93.5,137,1866.42
2020-09-11 00:38:05 WIB,4009,26.2,93.9,139,1864.32
